2026-05-08 14:11:43,694 (13256)|13256 DEBUG   permission check_relo (194): Reloaded role permissions: {'admin': Permissions(roles=[], general=[<PermissionAction.ADMIN: 'admin'>, <PermissionAction.CANCEL_WORKFLOW: 'cancel_workflow'>, <PermissionAction.START_WORKFLOW: 'start_workflow'>, <PermissionAction.UPDATE: 'update'>, <PermissionAction.READ: 'read'>, <PermissionAction.DEPLOY: 'deploy'>, <PermissionAction.FOUR_EYES_CHECK: '4-eyes_check'>, <PermissionAction.CHANGE_CHECK_ERROR: 'change_check_error'>, <PermissionAction.RUN_WORKFLOW: 'run'>], workflows={'*': {'general': [<PermissionAction.ADMIN: 'admin'>, <PermissionAction.CANCEL_WORKFLOW: 'cancel_workflow'>, <PermissionAction.START_WORKFLOW: 'start_workflow'>, <PermissionAction.UPDATE: 'update'>, <PermissionAction.READ: 'read'>, <PermissionAction.DEPLOY: 'deploy'>, <PermissionAction.FOUR_EYES_CHECK: '4-eyes_check'>, <PermissionAction.CHANGE_CHECK_ERROR: 'change_check_error'>, <PermissionAction.RUN_WORKFLOW: 'run'>], 'stages': {'*': [<PermissionAction.ADMIN: 'admin'>, <PermissionAction.CANCEL_WORKFLOW: 'cancel_workflow'>, <PermissionAction.START_WORKFLOW: 'start_workflow'>, <PermissionAction.UPDATE: 'update'>, <PermissionAction.READ: 'read'>, <PermissionAction.DEPLOY: 'deploy'>, <PermissionAction.FOUR_EYES_CHECK: '4-eyes_check'>, <PermissionAction.CHANGE_CHECK_ERROR: 'change_check_error'>, <PermissionAction.RUN_WORKFLOW: 'run'>]}}})}
2026-05-08 14:11:43,861 (13256)|13256 DEBUG   webmiddlew dispatch   (83): Response send code: 200
2026-05-08 14:11:43,892 (13256)|13256 DEBUG   webmiddlew dispatch   (61): Now call handler for /static/assets/bootstrap/css/bootstrap.min.css
2026-05-08 14:11:43,892 (13256)|13256 DEBUG   webmiddlew check_sess (90): sys.path=['/home/andreas/projects/opensource/i-releaser-unit-tests/i-releaser/webapp', '/home/andreas/projects/opensource/i-releaser-unit-tests/i-releaser/webapp', '/home/andreas/projects/opensource/i-releaser-unit-tests/i-releaser/etc', '/usr/lib/python313.zip', '/usr/lib/python3.13', '/usr/lib/python3.13/lib-dynload', '/home/andreas/projects/opensource/i-releaser-unit-tests/i-releaser/.venv/lib/python3.13/site-packages', '/usr/lib/python3.13/site-packages', '/home/andreas/projects/opensource/i-releaser-unit-tests/i-releaser']
2026-05-08 14:11:43,892 (13256)|13256 DEBUG   webmiddlew check_sess (91): /static/assets/bootstrap/css/bootstrap.min.css
2026-05-08 14:11:43,892 (13256)|13256 DEBUG   webmiddlew check_sess (95): No need to check session. Only media!
2026-05-08 14:11:43,893 (13256)|13256 DEBUG   webmiddlew dispatch   (69): Session check result: None
2026-05-08 14:11:43,910 (13256)|13256 DEBUG   webmiddlew dispatch   (83): Response send code: 304
2026-05-08 14:11:43,910 (13256)|13256 DEBUG   webmiddlew dispatch   (61): Now call handler for /static/assets/bootstrap/font/bootstrap-icons.css
2026-05-08 14:11:43,911 (13256)|13256 DEBUG   webmiddlew check_sess (90): sys.path=['/home/andreas/projects/opensource/i-releaser-unit-tests/i-releaser/webapp', '/home/andreas/projects/opensource/i-releaser-unit-tests/i-releaser/webapp', '/home/andreas/projects/opensource/i-releaser-unit-tests/i-releaser/etc', '/usr/lib/python313.zip', '/usr/lib/python3.13', '/usr/lib/python3.13/lib-dynload', '/home/andreas/projects/opensource/i-releaser-unit-tests/i-releaser/.venv/lib/python3.13/site-packages', '/usr/lib/python3.13/site-packages', '/home/andreas/projects/opensource/i-releaser-unit-tests/i-releaser']
